op,target,rounds,iterations,mean_s,min_s,max_s,median_s,stddev_s
parse,dwyl_english,5,1,0.026391408,0.024476357,0.029643363,0.025128797,0.001981334
query,cat,50,1,0.001072440,0.000807023,0.005174362,0.000897028,0.000635326
query,stop,50,1,0.000966888,0.000852977,0.001199485,0.000957207,0.000058292
query,apple,50,1,0.001200586,0.001084802,0.002138982,0.001155231,0.000156502
query,listen,50,1,0.001435311,0.001340422,0.001751007,0.001420726,0.000073608
query,roaster,50,1,0.001731980,0.001632826,0.001885420,0.001726859,0.000054423
query,creative,20,1,0.001811664,0.001745262,0.001891851,0.001817762,0.000033240
query,algorithms,20,1,0.001719615,0.001594084,0.002650005,0.001676407,0.000216944
query,relationship,10,1,0.001713974,0.001552127,0.002117248,0.001687957,0.000153906
query,conversational,10,1,0.001542584,0.001370036,0.002067658,0.001487636,0.000218099
query,characteristically,10,1,0.002077394,0.001008012,0.009082211,0.001127529,0.002374061
mixed,cat,20,1,0.001009699,0.000840957,0.001127386,0.001052765,0.000093816
mixed,stop,20,1,0.001310480,0.000878270,0.003734273,0.001127287,0.000699514
mixed,apple,20,1,0.001290704,0.001088333,0.003036660,0.001217545,0.000403865
mixed,listen,20,1,0.001448853,0.001345092,0.001697798,0.001442018,0.000071352
mixed,roaster,20,1,0.001735435,0.001633527,0.002048662,0.001701267,0.000104903
mixed,creative,20,1,0.001826605,0.001669403,0.002164318,0.001805187,0.000109411
mixed,algorithms,20,1,0.001718661,0.001583822,0.001916965,0.001716673,0.000080984
mixed,relationship,20,1,0.001742897,0.001570092,0.001981847,0.001731133,0.000092226
mixed,conversational,20,1,0.001524039,0.001298526,0.001610223,0.001560930,0.000086927
mixed,characteristically,20,1,0.001210430,0.001009858,0.001374336,0.001246088,0.000097970
startup,cat,10,1,0.027877180,0.026654442,0.029549986,0.027752901,0.000786404
startup,stop,10,1,0.028680427,0.026603342,0.036098108,0.028017839,0.002680020
startup,apple,10,1,0.034696162,0.027473443,0.042808451,0.034770017,0.003970715
startup,listen,10,1,0.029968349,0.027218705,0.033966979,0.030208112,0.001991770
startup,roaster,10,1,0.029230730,0.027448934,0.032196498,0.028519808,0.001761105
startup,creative,10,1,0.028003974,0.027216517,0.029157117,0.027864198,0.000505709
startup,algorithms,10,1,0.027899001,0.027211427,0.028372002,0.028152630,0.000435110
startup,relationship,10,1,0.028239882,0.026566005,0.030222923,0.028409222,0.001078121
startup,conversational,10,1,0.028803583,0.023457290,0.032027843,0.028941326,0.002081942
startup,characteristically,10,1,0.027957089,0.026749986,0.031335038,0.027559860,0.001345514
