op,target,rounds,iterations,mean_s,min_s,max_s,median_s,stddev_s
parse,dwyl_english,5,1,0.018064841,0.017485044,0.018552390,0.018143526,0.000362076
query,cat,50,1,0.000367963,0.000335140,0.000502685,0.000356949,0.000032711
query,stop,50,1,0.000501947,0.000448551,0.000726309,0.000486149,0.000055704
query,apple,50,1,0.000681450,0.000634954,0.001058979,0.000666247,0.000064433
query,listen,50,1,0.001131692,0.000996305,0.002675049,0.001037142,0.000279336
query,roaster,50,1,0.001471254,0.001314059,0.003714768,0.001373283,0.000380469
query,creative,20,1,0.001595825,0.001506958,0.001809369,0.001597714,0.000063767
query,algorithms,20,1,0.001685006,0.001640192,0.001769853,0.001679001,0.000039324
query,relationship,10,1,0.001888766,0.001748086,0.002297160,0.001814096,0.000175962
query,conversational,10,1,0.001657629,0.001604575,0.001765933,0.001650700,0.000047111
query,characteristically,10,1,0.001327637,0.001215590,0.001677118,0.001303738,0.000130603
mixed,cat,20,1,0.000487410,0.000377975,0.001384838,0.000416853,0.000218778
mixed,stop,20,1,0.000594205,0.000506497,0.000887847,0.000577415,0.000087489
mixed,apple,20,1,0.000750226,0.000666273,0.000904275,0.000730803,0.000063965
mixed,listen,20,1,0.001205220,0.001028830,0.002552188,0.001114690,0.000318500
mixed,roaster,20,1,0.001576429,0.001375769,0.002730588,0.001509821,0.000287577
mixed,creative,20,1,0.001764014,0.001550487,0.003508311,0.001678133,0.000405933
mixed,algorithms,20,1,0.001859702,0.001688820,0.003003780,0.001780724,0.000274558
mixed,relationship,20,1,0.002023794,0.001811706,0.003140588,0.001877644,0.000310986
mixed,conversational,20,1,0.001770680,0.001618695,0.002194881,0.001734306,0.000153211
mixed,characteristically,20,1,0.001427151,0.001219371,0.002142420,0.001361145,0.000202934
startup,cat,10,1,0.016561763,0.015303191,0.018821105,0.016377860,0.001049474
startup,stop,10,1,0.015746616,0.015293182,0.016664168,0.015703949,0.000484037
startup,apple,10,1,0.015757325,0.015184472,0.016838959,0.015720121,0.000569060
startup,listen,10,1,0.017564948,0.015518109,0.025499676,0.016138438,0.002904262
startup,roaster,10,1,0.017175416,0.015695505,0.019948226,0.016976924,0.001322803
startup,creative,10,1,0.016194623,0.015126778,0.018082238,0.016064444,0.000754999
startup,algorithms,10,1,0.016315732,0.015883429,0.016645140,0.016300550,0.000207988
startup,relationship,10,1,0.017536339,0.016494331,0.020859393,0.017133212,0.001245653
startup,conversational,10,1,0.017112885,0.016168940,0.019100258,0.016840247,0.000885065
startup,characteristically,10,1,0.017161743,0.015821555,0.021607555,0.016933337,0.001568555
