op,target,rounds,iterations,mean_s,min_s,max_s,median_s,stddev_s
parse,dwyl_english,5,1,0.231144719,0.200153101,0.278699817,0.222336386,0.026099975
query,cat,50,1,0.000000213,0.000000145,0.000000696,0.000000172,0.000000106
query,stop,50,1,0.000000445,0.000000308,0.000001598,0.000000390,0.000000208
query,apple,50,1,0.000000623,0.000000502,0.000001305,0.000000595,0.000000120
query,listen,50,1,0.000001300,0.000000953,0.000009650,0.000001078,0.000001210
query,roaster,50,1,0.000001897,0.000001628,0.000002609,0.000001909,0.000000154
query,creative,20,1,0.000002506,0.000002066,0.000004843,0.000002374,0.000000568
query,algorithms,20,1,0.000014816,0.000009874,0.000042967,0.000011080,0.000007960
query,relationship,10,1,0.000082043,0.000070907,0.000110508,0.000079114,0.000010687
query,conversational,10,1,0.000136753,0.000124386,0.000163694,0.000131692,0.000013067
query,characteristically,10,1,0.000173130,0.000119760,0.000228304,0.000167594,0.000030692
mixed,cat,20,1,0.000000528,0.000000338,0.000000684,0.000000523,0.000000087
mixed,stop,20,1,0.000000868,0.000000652,0.000001266,0.000000816,0.000000150
mixed,apple,20,1,0.000004960,0.000000978,0.000050521,0.000001396,0.000011576
mixed,listen,20,1,0.000002876,0.000002427,0.000003390,0.000002860,0.000000266
mixed,roaster,20,1,0.000003560,0.000002248,0.000004463,0.000003552,0.000000472
mixed,creative,20,1,0.000006985,0.000004976,0.000010133,0.000006825,0.000001110
mixed,algorithms,20,1,0.000034014,0.000021345,0.000100401,0.000027024,0.000021072
mixed,relationship,20,1,0.000082677,0.000076998,0.000111956,0.000080710,0.000007533
mixed,conversational,20,1,0.000117870,0.000100532,0.000158258,0.000115230,0.000016034
mixed,characteristically,20,1,0.000128504,0.000112400,0.000161882,0.000122839,0.000014219
startup,cat,10,1,0.000072472,0.000058357,0.000110666,0.000068497,0.000014385
startup,stop,10,1,0.000062764,0.000053861,0.000071778,0.000062904,0.000006096
startup,apple,10,1,0.000093097,0.000070441,0.000160863,0.000088599,0.000024042
startup,listen,10,1,0.000096160,0.000088678,0.000110886,0.000092235,0.000007661
startup,roaster,10,1,0.000111916,0.000091921,0.000128380,0.000115889,0.000011652
startup,creative,10,1,0.000190160,0.000137440,0.000332380,0.000179818,0.000058576
startup,algorithms,10,1,0.000226003,0.000163130,0.000311203,0.000223344,0.000050283
startup,relationship,10,1,0.000346983,0.000313677,0.000409567,0.000344070,0.000030364
startup,conversational,10,1,0.000613701,0.000510552,0.000775902,0.000631091,0.000076111
startup,characteristically,10,1,0.000773559,0.000662872,0.001122356,0.000708446,0.000149497
